Vth_T ,6bit_Vth,VinDac,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50
59,0,0,466,465,465,465,465,465,465,465,466,465,465,465,465,466,465,466,466,466,466,465,466,465,466,465,466,466,465,466,466,466,465,466,466,466,466,465,465,466,465,465,465,465,466,466,466,466,465,466,466,465
60,0,0,466,466,466,466,465,466,466,466,466,466,466,466,466,465,466,465,466,465,466,465,466,465,466,465,465,466,465,466,465,466,466,466,465,466,465,465,465,466,465,466,466,465,466,465,465,465,465,466,465,465
61,0,0,466,465,466,466,466,466,466,465,465,465,466,465,465,465,465,466,465,466,466,466,466,465,466,466,465,465,466,465,465,465,465,466,465,466,466,466,465,466,466,466,466,466,465,466,466,465,466,465,466,466
62,0,0,466,466,466,465,465,465,465,465,466,466,466,465,466,466,465,466,465,466,466,465,465,466,466,465,465,466,465,465,465,466,466,465,465,465,466,466,466,466,466,465,466,466,466,465,466,465,466,466,466,466
63,0,0,465,466,466,465,465,465,466,466,465,465,465,466,466,466,465,466,466,465,466,466,466,466,465,465,465,466,465,466,466,466,466,466,465,465,465,465,465,466,466,466,465,466,465,466,465,466,465,465,465,466
64,0,0,466,466,466,465,466,466,466,465,466,466,466,466,466,466,466,466,465,465,466,466,466,466,466,465,466,466,466,465,466,466,465,466,466,465,466,466,465,465,466,465,465,466,466,466,465,466,466,466,466,465
65,0,0,466,465,466,466,466,466,466,465,466,465,466,465,466,466,466,465,466,465,465,466,466,465,466,465,466,466,466,465,465,465,466,466,465,465,466,465,465,466,465,465,465,465,465,466,465,465,466,465,466,465
66,0,0,465,466,466,465,465,466,466,466,465,465,466,465,466,465,465,466,465,466,465,465,465,465,466,466,466,466,465,465,465,465,466,466,465,466,465,466,465,466,465,465,465,466,465,466,465,465,466,465,465,466
67,0,0,465,466,465,465,466,465,466,466,465,466,466,466,466,466,466,466,465,466,465,465,466,466,466,466,466,466,465,465,466,465,466,465,466,465,465,466,465,466,466,465,465,466,466,466,466,466,466,466,465,466
68,0,0,465,466,466,466,466,465,465,465,466,466,466,465,466,465,466,466,465,466,466,466,465,466,466,466,466,465,466,465,465,466,465,465,465,466,466,465,466,465,465,465,466,465,465,465,465,465,466,465,465,466
69,0,0,466,465,465,465,465,466,465,466,465,465,466,466,466,466,465,466,466,466,465,466,466,465,465,466,465,465,466,466,466,466,466,466,466,465,466,465,465,466,465,465,466,466,466,466,466,466,466,466,466,465
70,0,0,465,465,466,466,466,465,465,466,466,466,466,466,465,466,466,465,466,466,466,466,466,466,466,466,466,465,466,465,466,466,466,465,465,466,465,466,466,466,465,465,465,466,466,466,466,466,466,465,466,466
71,0,0,466,466,466,466,466,466,466,465,465,465,466,465,466,465,466,465,466,466,466,465,465,465,466,466,465,466,465,465,465,466,465,465,466,466,466,465,466,465,466,466,466,466,465,466,465,466,466,465,466,466
72,0,0,466,465,466,465,466,466,465,465,466,466,465,466,466,465,466,466,466,465,465,465,465,466,466,466,466,466,466,466,466,466,466,466,466,466,465,465,466,466,465,466,465,465,466,465,466,466,465,466,466,465
73,0,0,466,465,466,465,466,466,465,466,466,466,465,465,466,466,466,465,465,466,466,466,466,466,466,466,466,465,466,466,466,466,465,465,465,465,465,465,465,466,466,465,465,466,465,466,466,465,466,466,466,466
74,0,0,466,466,466,466,465,465,465,465,466,466,465,465,465,466,466,465,466,466,465,466,466,465,466,465,465,466,465,466,465,466,466,466,465,465,466,466,466,466,466,466,465,466,466,466,465,466,466,466,465,465
75,0,0,466,465,465,466,465,465,466,465,465,465,465,466,466,465,466,465,466,465,466,466,466,465,465,465,466,465,466,465,465,466,465,465,465,466,466,466,465,465,465,466,466,465,466,466,465,465,466,466,466,466
76,0,0,465,465,466,466,465,466,466,466,466,465,465,466,466,465,466,466,465,465,465,466,466,466,466,465,465,466,466,465,466,465,466,466,466,465,466,465,466,465,466,465,465,466,465,466,466,466,466,465,466,465
77,0,0,465,465,465,466,465,465,466,465,466,465,465,466,466,466,466,465,466,465,465,466,465,465,466,466,466,465,466,466,465,465,466,465,466,466,466,466,465,465,465,466,466,465,465,465,466,466,466,466,466,466
