Vth_T ,6bit_Vth,VinDac,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50
193,0,0,61730,66921,66922,27561,39376,47248,31491,62980,23620,62997,55120,31469,59046,55117,37330,51180,47235,39367,43292,47245,75458,39360,47244,71523,39361,43303,43303,62980,59049,39542,35427,43295,39372,47254,55112,39366,77713,70830,55125,66929,31482,70852,39370,55113,43281,59053,35420,23624,51188,31484
194,0,0,43304,51984,31508,74800,43306,65547,55114,35423,43311,59033,39376,59043,39360,55116,47234,66928,31510,62573,51164,51185,59060,59056,49928,55114,63004,47247,66933,59056,66937,62650,70856,64775,38874,43299,47236,59035,47227,59046,51159,51184,43290,59041,43323,39368,35440,51170,51181,51198,53712,70869
195,0,0,47245,43296,57204,51180,66922,70863,42183,62953,31498,47236,43291,59060,82664,55116,47247,39379,59032,55123,55112,70839,78838,62968,82682,37490,55104,43302,69858,82070,43304,51176,63004,95478,55114,55112,63682,70871,74767,55102,62977,55108,35797,59034,78742,62988,98438,63003,39362,78734,82660,42670
196,0,0,43313,59047,74784,94499,35428,43311,55101,43298,62989,62971,74810,70848,51161,62975,62984,59035,51150,70850,66939,49287,55120,35430,66914,62980,27550,68053,47241,47234,55099,102331,78755,51169,59054,57353,43310,55097,51182,55115,47242,59073,66912,43317,51165,59045,62978,31495,74793,74818,59039,74783
197,0,0,78753,62988,86609,66924,70854,59049,51177,51176,35435,47232,35424,74789,78727,66928,66918,74808,55133,66913,70848,66934,43288,66938,70848,59049,90505,59048,47239,47268,94452,66937,59039,78727,62988,55102,59053,90550,82648,51181,47236,59040,76669,66933,70856,70838,70862,74784,31506,47237,106284,110213
198,0,0,47232,59054,82671,59064,70875,59057,43315,74805,62113,78770,55119,47251,78726,64215,55022,51831,63006,70855,59076,90534,70865,86569,66942,74220,63800,86594,82654,66937,102359,94436,78754,66901,66930,90547,74791,85921,78743,86610,74796,70858,86622,63001,82646,55119,90510,59040,62986,74782,62987,59052
199,0,0,102351,93345,62984,110243,51160,55111,102356,86606,92531,84275,98407,102324,102345,82652,74817,62976,86597,70859,70862,62991,62977,62980,78722,86574,59047,59052,78705,90576,43308,62986,63000,98445,86610,59069,98430,70867,102304,78725,77931,63000,114161,86608,70875,82650,78715,86602,90561,74801,74784,66936
200,0,0,82666,102340,86606,106277,94499,82663,106290,90186,66891,125964,66917,98449,80445,94497,86595,106306,78738,90537,108017,94495,102352,110226,97240,94501,94510,129942,59030,82678,82679,102312,98440,66926,98318,90524,70882,86616,74805,78748,69514,122055,74797,74837,102356,106260,114164,78746,82659,62998,62966,59048
201,0,0,90544,86599,98430,82703,134281,102374,90960,86622,118108,86591,86604,125983,90552,94472,106290,94492,86618,78745,104712,80665,82667,66927,86600,90540,94459,125963,92085,98425,74344,118078,98411,110215,90549,98435,133810,114166,83251,106297,59070,82692,82674,96992,74801,86604,82665,82674,112418,98413,72888,102373
202,0,0,66917,102358,103043,118084,98418,70879,118124,106263,118808,90535,141774,118115,106317,101412,84912,106310,82668,121234,86615,102357,110233,90560,111382,113406,114165,98411,102364,98425,106315,90530,102340,78738,114153,82681,82663,125974,137832,86618,125974,102348,98422,106287,143738,121992,122074,106293,129890,78730,106277,118138
203,0,0,133826,173192,122052,110219,125986,123803,106288,145692,137773,106280,106312,153550,114160,125985,118120,145692,157499,122050,109145,90569,146734,114175,128983,118116,129908,122028,110231,106332,137768,141735,163422,125961,114183,94500,98472,82686,98427,133871,110254,122052,129905,137786,106324,106301,141730,129922,121027,129935,107956,98409
204,0,0,145663,145511,130663,153554,123948,137808,133881,150864,161416,129921,125313,149604,155236,115259,124154,141725,133878,149627,137790,153575,133901,137812,145886,142035,125977,161420,126003,115309,142475,137831,129931,169269,165384,128010,137810,153550,125987,145657,122039,153527,133861,137822,141725,165345,149589,137824,125995,137791,157453,157493
205,0,0,181140,157518,159339,169319,169288,172823,132841,175548,132604,145744,165371,141704,157522,165384,181175,130213,135569,145674,154969,177196,208692,145698,140319,185028,133867,159633,180588,185033,114518,145669,157482,177171,143102,114179,185080,135331,167923,169310,161416,141725,189025,161422,133861,141766,133867,157536,169324,163531,173292,165415
206,0,0,175146,206174,169340,159817,169485,185907,185052,208705,165805,173259,212637,181175,158256,173303,185097,169335,191000,175483,165390,191351,207545,206544,183130,157517,149665,154254,181127,161451,208682,173261,157496,177234,197834,169308,192615,177153,198816,196073,169346,175391,161470,173278,169266,185052,192980,157504,133903,212634,146927,181121
207,0,0,89280,105346,125276,126919,118588,111164,122685,114193,113971,96861,128282,111492,115787,110018,118237,108575,102630,119207,135333,106921,113710,107930,138969,123049,126875,120049,131156,125019,110519,136234,109092,111552,103593,110473,110904,107947,118037,131266,120257,115610,116948,99966,122747,113023,109204,104196,122756,100899,122040,140827
208,0,0,123467,122839,115997,131238,134391,131207,136368,136522,105292,131237,145584,144641,126526,127165,142453,121534,140756,113897,121504,130825,141501,115759,109495,151326,165405,128566,127784,120233,156401,140464,133597,140959,153694,139486,144722,135474,142806,130287,133749,114455,129142,144817,110341,144475,132993,129550,140261,113275,153304,156040
209,0,0,157235,158823,154980,126730,168033,156569,153534,152567,166131,169745,151017,149060,182886,149911,178905,174752,172645,179721,197237,161250,184816,158168,149173,186341,182812,144906,176643,166040,164933,181645,181245,168844,170680,180003,139041,154027,156557,167118,158749,181210,156754,155260,166002,162836,146706,154370,163515,178965,175590,185457
210,0,0,196742,170559,195252,175605,181093,188841,187005,167255,183454,194407,182655,203416,208609,203133,204857,190703,200562,177388,205255,173832,180244,193589,163074,153156,175637,205725,202894,181536,184135,178085,175777,199025,210244,184783,179900,199586,198038,199403,189702,179367,189789,188696,216028,180225,199627,187302,166167,204340,183109,201146
211,0,0,205701,219294,243658,221620,228201,260144,219006,218820,219300,201028,228392,204248,210537,231014,237369,201627,218892,198303,207818,229525,200926,234253,225880,229475,228088,251322,233250,229148,207642,201771,215965,232533,232892,247691,260166,226900,236776,218100,236462,201613,227516,243223,205981,226509,224346,253766,234448,245569,210156,200984
212,0,0,276408,255296,251147,259431,245161,267188,266693,249365,235687,231864,247606,249956,269114,255980,283833,254741,281608,239611,243099,285337,265218,253571,282481,265056,284006,235787,241615,263684,263070,255793,251982,265491,263835,248862,249039,264790,246756,247917,243444,253341,274405,238893,239037,242783,257610,248049,278177,242253,248041,269714
213,0,0,440593,429266,490938,436032,498169,430689,430377,463844,452914,453189,429349,461660,472597,442752,456855,461058,452862,445074,484361,449204,449591,433148,452954,466275,441075,471499,488351,452941,437187,448725,431151,456826,437162,448215,434655,443215,421373,437604,424042,480469,478654,446155,448890,446906,408700,433874,441132,429043,429357,509809
214,0,0,496781,505441,512020,515298,491736,479524,491478,466279,450398,525901,467800,511024,478387,515930,501752,488749,477490,454850,476570,452941,492307,476519,465165,458341,497287,460731,485969,504629,496274,453339,479985,488697,448414,507302,504230,508648,447047,486113,463443,491122,486668,470175,500178,523754,452860,473054,488328,500175,478242,488535
215,0,0,497339,549945,567155,565537,527550,510192,528500,549467,563132,527741,517982,522638,534974,529535,529974,496363,523393,520816,559279,539592,512017,522745,551348,527586,535593,526084,541298,574972,515948,529969,566813,536949,566020,529976,560565,525067,518141,534484,544456,531389,564177,523238,521369,564505,542850,534490,534876,544750,524846,555309
216,0,0,410742,391694,404234,430456,386156,403782,401140,420471,407737,415151,406720,422826,389996,438675,411725,433573,416019,396802,386513,391507,400935,408997,393791,427476,418852,419726,408712,382111,408906,402123,411434,399408,420854,412914,393255,375504,413195,399663,425111,411688,413941,409774,402546,421565,391435,428392,424621,407748,399494,408906
217,0,0,606389,638045,602527,610379,641625,634053,624985,652645,629577,645245,640729,620687,627427,622239,630203,630202,643674,644894,613385,620392,622259,626181,615651,626357,632000,624094,609307,634260,615333,626262,611981,624771,635812,624518,591960,590732,601867,652517,600700,651325,654519,614302,638804,601059,578961,618310,615391,606522,625667,625754
218,0,0,668404,621602,655573,635347,631233,633169,653387,633503,654679,661608,647394,647637,672768,645907,650554,627602,644440,623432,636752,658676,650189,659412,635265,661350,624908,636658,639846,659815,653760,655223,636233,628085,656000,655897,642548,654360,634142,648736,649776,641924,664625,631285,658396,638736,653111,657692,648584,644859,662000,660044
219,0,0,634006,679160,670522,668334,681290,683759,694772,677289,679892,669345,666169,705475,701853,689374,675079,685353,682540,684474,661230,690125,698026,696783,660151,674121,661608,692614,692714,676704,703118,696601,684393,687938,652988,682278,671758,697831,673628,657656,683318,693913,712866,657364,660764,686268,690257,673388,707427,678428,664692,699941
220,0,0,701137,716724,719361,716320,724603,720963,712902,721495,713208,731331,717849,719297,728511,734577,731017,710470,716674,744082,728003,708103,707141,719209,693335,715875,708769,721326,700476,697077,725600,722904,728121,709052,721803,712866,698438,699180,709108,712143,720361,718327,730352,728749,712098,728690,699525,728570,728123,717435,741726,700983
221,0,0,740230,739335,748779,734737,746649,743783,741751,737229,748976,747571,739252,743232,742044,764270,738423,746198,757750,749233,743193,744552,740295,751167,755142,746888,723512,736776,734788,752563,752565,728546,749146,733277,749939,751033,727218,737768,731794,751226,744401,728597,752497,741546,746779,740836,743876,746830,750852,741157,732497,736631
222,0,0,748479,764235,763958,747468,745291,756236,752739,763876,766694,775818,761697,770160,759719,751193,746672,762522,747924,752201,762076,767966,757599,774712,751186,773103,761230,757356,771705,765035,758341,753267,760913,761854,752967,769413,748363,765871,752761,780402,755269,747718,759707,763452,748647,750254,760929,766188,764699,752597,754223,748495
223,0,0,774849,767878,777346,777848,776555,781593,764538,770676,765686,762649,773298,765884,767421,766286,769478,783695,764325,777652,773702,780029,770726,763520,773669,772975,777253,759435,771901,772002,766956,774727,775559,774702,774072,760001,776118,785833,778070,779495,760962,775074,765233,788593,774298,763880,778720,766552,764468,780042,770992,777278
224,0,0,793796,787111,780771,796852,781219,791322,784586,778522,780170,793233,792796,790007,794780,784977,795324,790965,794886,790196,784234,780102,793846,787273,788305,794269,791607,784098,788523,798171,786443,786338,791029,788006,779668,781812,800850,795113,785445,799838,787671,787205,781781,789749,776355,788598,784030,800649,786053,777664,778143,791431
225,0,0,791368,806192,800026,790911,810077,802081,797508,787733,796775,796933,788199,803832,789176,807394,810550,801062,794979,803760,797477,800420,797623,801161,800647,804263,791603,798534,797546,804759,809838,809925,804905,802621,799655,806082,798641,801526,800499,805690,796897,800845,789552,795527,798264,803944,802536,802280,801789,803309,800001,798564
226,0,0,802382,810039,806914,807093,807425,801107,807569,808081,803751,802114,806377,802198,802356,801107,807106,811804,802932,807136,804849,811947,808820,805965,810143,801107,799263,803695,795953,806746,801944,803241,795327,799900,799949,808761,810238,807155,804947,802355,811318,800988,799568,803251,804914,805003,812531,804709,812205,800929,807371,799937
227,0,0,806580,817470,813605,807215,804279,814172,802089,809960,805936,811913,801168,814338,815122,813465,811390,809693,815064,805138,811776,809162,811477,813881,808404,819998,798773,809541,807157,812297,812580,804517,799287,805831,811805,811664,815048,813036,812826,805882,811097,811739,809687,809880,804301,815095,812742,810747,811416,808494,809838,808849
228,0,0,810586,814678,818394,817533,816122,813062,815243,816602,823049,818884,825356,814856,821135,813425,816967,817085,813476,811124,813833,814090,813999,819049,818323,817002,815776,809143,815477,819102,819874,814310,816881,811304,809358,819624,817794,818985,815592,815617,814891,816945,812437,815817,825260,811717,808641,814936,816541,816530,814335,819684
229,0,0,827603,819157,830736,821123,820352,818071,825996,823110,824940,815055,814911,818511,824484,817510,824446,819303,823815,824307,828789,820629,827202,823936,821393,834760,818747,821491,821059,829994,823583,828093,828890,822409,825445,829113,830345,829704,826954,822454,829802,827541,829518,825282,827909,830105,833417,828627,825414,816505,822596,820202
230,0,0,752333,758553,777109,762698,764266,764079,766713,754827,758756,770302,769889,765599,761864,763677,756057,780877,763057,767816,767920,776448,756988,771835,762254,766221,767243,757343,754797,765983,759954,757482,763921,761781,764186,768337,769510,756616,763372,764685,756648,764233,762847,765960,768365,772870,778189,765277,770586,760881,767123,761299
