Vth_T ,6bit_Vth,VinDac,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50,#51,#52,#53,#54,#55,#56,#57,#58,#59,#60,#61,#62,#63,#64,#65,#66,#67,#68,#69,#70,#71,#72,#73,#74,#75,#76,#77,#78,#79,#80,#81,#82,#83,#84,#85,#86,#87,#88,#89,#90,#91,#92,#93,#94,#95,#96,#97,#98,#99,#100
328,0,0,874932,873409,867070,877311,869615,880078,869824,865912,879509,869802,862991,865047,869846,888256,877267,882691,882285,877148,870916,874799,864438,874945,872843,865555,867668,893473,890462,874980,870161,877023,899768,875398,888687,874760,871336,873323,882166,869256,879709,878723,882147,879941,864507,882592,865885,886299,875110,869329,850115,874849,875855,886904,871658,871290,865798,870100,854111,878786,866868,871743,887391,870232,866881,871197,880611,884727,858878,871055,868413,886512,884500,857423,877844,870226,867734,885865,860701,873236,872790,887370,883009,878180,864210,874384,876229,896667,886248,882550,873015,873105,881344,875260,879184,873693,866523,876024,886714,867444,883719,876826
329,0,0,880215,880397,889493,877375,881828,889345,887190,888834,889417,900167,879897,872989,885799,870468,878982,885727,877217,883947,876970,886280,881297,893572,890097,891628,892530,878735,882699,888622,882127,886332,880766,888620,894971,886245,878214,879260,887103,886612,889438,887800,891520,897363,883654,887021,879679,889123,874129,882581,884563,886437,883167,897188,878657,879187,885771,881698,877410,876028,881744,860469,895268,889716,881285,887727,878372,876261,893571,880929,890224,880495,872511,881239,888150,885527,870992,873930,885095,877885,894267,901223,875121,892008,892171,887083,873436,875198,884377,887870,882510,872632,868869,874657,885228,891900,886882,877038,896960,876287,887722,883232
330,0,0,878658,902266,899842,889750,889050,891514,889161,890332,887520,897839,901159,900065,898015,894024,905594,881207,879921,900423,884402,895543,892656,898232,902818,897663,905842,893644,905452,889106,904584,895434,893099,892662,889574,898849,906944,897600,897427,900729,900654,887068,895602,889990,900109,887842,889827,897564,890849,884936,883734,894958,896574,887876,902367,895287,887859,886838,906428,902634,884480,895038,904970,887685,887597,889351,895080,880694,884472,895727,892748,900298,893728,893089,885406,907352,890947,892471,894980,894543,897755,889369,880148,887980,886455,903354,896914,891188,885552,890444,879339,891111,887732,899208,905421,888281,893600,880620,878564,888418,901372,897346
331,0,0,911102,898544,895731,892494,894604,886109,903902,894575,908137,904160,900569,898764,897132,905409,897107,909403,889425,904814,903994,905218,891319,914655,895372,897654,903690,898826,897826,903047,896524,903412,897177,896460,897933,898666,894693,917607,903361,905011,902185,900042,887759,897134,905006,907840,887099,906279,890986,890002,903640,898696,897600,906071,915959,893212,910984,908398,910263,902249,905466,898474,901820,895821,904950,897154,900835,902122,887568,900960,905202,904914,903420,907091,904083,905206,898407,896990,892553,904198,900514,903979,900592,902487,898917,907330,902960,906668,903617,893449,888115,895166,911773,898372,886560,892633,902880,905218,904959,894305,912799,905121
332,0,0,905090,906829,898926,899580,909225,912024,893849,902795,913663,912101,906633,896957,910173,905376,902362,902915,914441,907822,901933,905290,904025,908358,897089,903859,910417,903774,898344,906971,904502,898951,891636,914359,906496,904095,909166,898768,905722,908789,901882,908866,900121,907471,904377,906179,902480,908993,903962,912128,916170,912767,901459,910991,920027,899963,900809,912426,917877,904148,911447,892590,916265,909210,904793,900633,893153,903329,897693,897509,900153,899788,898338,909478,901024,894326,905701,912751,903243,902434,910100,898971,903316,895705,906455,905068,901278,895641,897451,903705,914847,907098,908249,911595,894554,913170,899006,895487,901761,899979,900379,909376
333,0,0,908258,905415,908139,913020,919144,922812,908327,915541,906343,915673,909028,911280,910937,919492,902196,900972,905635,907978,912859,901978,906399,912158,920186,900767,908370,896936,913305,913082,914322,909806,902999,910542,906979,914453,914474,909811,909126,909040,918363,904687,911987,907371,923453,914947,908717,910472,910465,914914,908842,913888,917880,909042,909910,911913,900989,910385,911577,905740,906412,910678,912059,909729,895019,913418,906906,904925,909023,907768,910574,907940,914583,916611,910827,906690,909935,912428,911093,908510,908941,899783,908701,903943,907750,905744,909308,897335,917610,909151,921401,911514,915226,915681,909421,911109,905443,898585,909705,904209,912238,904333
334,0,0,913534,916494,916580,904522,918882,919313,909006,908345,910685,913383,917151,912283,917628,917674,908420,910411,910858,919418,911886,905447,916049,915206,908613,910389,910321,914984,916036,916726,906629,915981,921312,919678,919712,910529,904590,901435,918934,926119,915435,909370,913051,912812,912174,907634,910892,904218,906633,919140,917801,909451,917564,911693,918959,920650,911681,919652,910068,926203,919571,910151,919043,912871,911513,916376,912141,919687,913844,921500,911866,923601,915299,922194,909253,908440,918598,905967,922933,901898,922889,913768,913188,923527,916207,917737,912956,909114,924798,920877,916888,915548,912561,914468,913928,905026,919256,915606,917205,920357,913408,924701
335,0,0,932488,920621,925226,922672,922272,915181,913765,918508,916530,916972,907852,931171,923569,922160,922363,922641,919929,926447,916771,914622,919223,925626,925214,924447,925481,926284,917513,923115,913219,923253,927237,919741,916732,923574,923361,925562,915112,921309,922699,929705,925183,921249,923211,916368,925533,918064,927097,922616,926827,924924,924198,918252,922038,924275,929270,928203,927535,926787,927227,918336,918051,919799,924236,924373,912956,925825,924126,922620,920724,924639,923279,916486,921808,914869,921580,927467,917902,918525,918945,924133,918888,917148,920183,922563,921136,921848,920213,927262,918227,915753,919081,926220,919989,928173,916925,913299,923164,923784,926569,920030
336,0,0,923882,927680,926338,923094,923494,926399,927348,932371,931798,926106,925160,924026,923922,919548,920829,924441,928097,922247,921866,919159,920299,917422,914775,924809,924974,935679,922406,923274,923714,927141,929557,920693,925796,916462,929187,924583,924136,921565,927542,930547,918150,920807,925822,911861,923426,926125,930376,926159,928216,929499,929797,927949,932490,920053,926206,932099,915407,919994,928895,927480,922630,927994,918317,926964,918483,930560,926670,934083,929126,926419,922364,925234,924042,920796,930660,920847,928160,925219,924935,921599,924176,918489,920765,923694,933247,925107,922792,928881,919409,930797,923007,926567,927141,932595,922431,931615,925627,928324,919860,930217
337,0,0,931382,935989,928577,927855,928187,929086,932739,929059,927627,927271,928994,929002,927120,922806,930426,929515,927764,927342,929231,932109,924792,929941,933981,929307,934152,926132,923911,927458,935849,928933,924811,924622,929074,925237,927552,931063,930688,926460,932410,929100,929235,929924,926096,932174,929119,928629,931654,934869,930303,930182,928162,925531,932696,924535,927776,933223,936977,928040,919355,929278,929503,937058,931568,921511,930984,937219,928424,918093,931550,930633,922850,928459,922700,931166,930127,939363,929328,927991,927643,927745,925982,925795,921209,929212,928167,931260,934255,927649,932393,927553,932415,932185,930323,933756,931739,929226,926473,929121,928864,922650
